,day,margin
0,-155,0.02
1,-153,0.03
2,-152,0.065
3,-151,0.06
4,-150,0.07
5,-149,0.05
6,-147,0.035
7,-146,0.06
8,-145,0.0266666666666667
9,-144,0.03
10,-143,0.04
11,-142,0.06
12,-141,0.0366666666666667
13,-140,0.035
14,-139,0.09
15,-138,0.12
16,-137,0.045
17,-135,0.04
18,-134,0.02
19,-131,0.06
20,-128,0.05
21,-127,0.04
22,-126,0.03
23,-125,0.06
24,-124,0.065
25,-120,0.0325
26,-119,0.055
27,-118,0.05
28,-117,0.03
29,-116,0.0099999999999999
30,-114,0.03
31,-113,0.0
32,-112,0.05
33,-111,0.02
34,-110,0.02
35,-109,0.06
36,-108,0.03
37,-107,0.02
38,-106,0.06
39,-105,0.04
40,-104,0.055
41,-102,0.0533333333333333
42,-101,0.0099999999999999
43,-100,0.07
44,-99,0.0633333333333333
45,-98,0.0099999999999999
46,-96,0.0333333333333333
47,-95,0.04
48,-93,0.02
49,-92,0.03
50,-90,0.05
51,-89,0.02
52,-87,0.05
53,-86,0.005
54,-85,0.0099999999999999
55,-84,0.0233333333333333
56,-83,0.01
57,-82,-0.05
58,-81,0.0275
59,-80,0.02
60,-78,0.02
61,-77,0.0266666666666666
62,-75,0.015
63,-74,0.03
64,-73,0.01
65,-72,0.01
66,-71,0.025
67,-69,0.06
68,-68,0.03
69,-67,0.04
70,-66,0.06
71,-64,0.0375
72,-63,0.0433333333333333
73,-61,-0.03
74,-60,-0.02875
75,-59,-0.0033333333333333
76,-58,-0.0133333333333333
77,-57,-0.006
78,-56,0.0
79,-55,-0.0125
80,-54,0.0116666666666666
81,-53,0.035
82,-52,3.70074341541719e-17
83,-51,0.0133333333333333
84,-50,-0.01
85,-49,0.03
86,-48,0.045
87,-47,0.0
88,-46,0.05
89,-45,0.0266666666666667
90,-44,0.05
91,-43,0.0333333333333333
92,-42,0.0266666666666667
93,-40,0.05
94,-39,0.052
95,-38,0.0583333333333333
96,-37,0.045
97,-36,0.09
98,-34,0.0625
99,-33,0.075
100,-32,0.0475
101,-31,0.048
102,-30,0.08
103,-29,0.05
104,-28,0.0833333333333334
105,-27,0.095
106,-26,0.08
107,-25,0.08
108,-24,0.0675
109,-23,0.05
110,-22,0.0575
111,-21,0.07
112,-20,0.045
113,-19,0.0716666666666667
114,-18,0.0616666666666667
115,-17,0.0725
116,-16,0.0875
117,-15,0.0716666666666667
118,-14,0.09
119,-13,0.074
120,-12,0.1
121,-10,0.07
122,-9,0.0566666666666667
123,-8,0.045
124,-7,0.065
125,-6,0.0625
126,-5,0.076
127,-4,0.09
128,-3,0.07
129,-2,0.07
130,-1,0.09
